Country,Deaths,Confirmed,Recovered,"Population density (per km2, 2017)",GDP per capita (current US$),Unemployment (% of labour force),Urban population (% of total population),Refugees and others of concern to UNHCR (in thousands),Health: Physicians (per 1000 pop.),Health: Total expenditure (% of GDP),tuberculosis(per/100k) 2018,obesityRate,totalSmokingRate,maleSmokingRate,femaleSmokingRate,Life expectancy(W),Life expectancy(M),deathrate(per/1000),Age 0-14(%),Age 60+(%),averageTemperature,Min temperature,Max Temperature,touristArrivals,population2019(thousand)
Afghanistan,0.0,7.0,0.0,54.4,623.2,8.6,26.7,1513.1,0.3,8.2,189,0.055,19.3,35.3,2.1,63.5,61.0,6.393,43.2,4.1,12.6,-4.55,28.53,20000,35530.111000000004
Albania,1.0,12.0,0.0,106.9,3984.2,15.8,57.4,8.8,1.3,5.9,18,0.217,29.4,51.2,7.6,79.9,75.6,7.997000000000001,17.4,19.0,11.4,-2.05,25.84,4070000,2880.917
Algeria,0.0,20.0,0.0,17.3,4154.1,11.4,70.7,99.8,NaN,7.2,69,0.27399999999999997,16.5,30.4,0.7,76.5,74.1,4.723,29.3,9.4,22.5,9.53,35.83,2039000,43053.054000000004
Andorra,0.0,1.0,0.0,163.8,39896.4,-99,85.1,-99,3.7,8.1,3,0.256,32.5,37.2,27.8,-99,,7.4,14.4,19.0,7.6,-0.92,24.31,2831000,77.142
Argentina,1.0,19.0,0.0,16.2,14564.5,6.5,91.8,5.0,3.8,4.8,27,0.28300000000000003,23.95,29.5,18.4,79.8,72.2,7.612,24.9,15.4,14.8,4.8,23.29,6638000,44780.677
Armenia,0.0,1.0,0.0,102.9,3489.1,16.6,62.7,19.3,2.8,4.5,31,0.20199999999999999,26.9,52.3,1.5,77.0,70.6,9.862,20.0,16.9,7.15,-10.28,25.29,1260000,2957.7309999999998
Australia,3.0,128.0,21.0,3.2,51352.2,5.5,89.4,58.2,3.4,9.4,6.6,0.29,14.9,16.7,13.1,84.4,80.2,6.622000000000001,19.0,21.0,21.65,12.53,29.86,8269000,25203.197999999997
Austria,0.0,246.0,4.0,106.0,44117.7,6.2,66.0,166.4,5.2,11.2,7.1,0.201,35.15,35.5,34.8,83.5,78.4,9.896,14.1,25.1,6.35,-11.08,20.08,28121000,8955.101999999999
Azerbaijan,0.0,11.0,3.0,118.9,5438.7,5.2,54.6,623.3,3.4,6.0,63,0.19899999999999998,23.45,46.5,0.4,74.6,68.6,6.808,23.3,10.1,11.95,-5.99,26.68,2045000,10047.718
Bahrain,0.0,195.0,35.0,1963.9,22600.2,1.3,88.8,0.4,0.9,5.0,11,0.298,28.2,48.8,7.6,77.5,75.6,2.416,19.7,4.6,27.15,12.16,37.69,4372000,1641.172
