"rank","name","peaceIndex","pop2019"
1,"Afghanistan","3.5740","38041.7540"
2,"Syria","3.5660","17070.1350"
3,"South Sudan","3.5260","11062.1130"
4,"Yemen","3.4120","29161.9220"
5,"Iraq","3.3690","39309.7830"
6,"Somalia","3.3000","15442.9050"
7,"Central African Republic","3.2960","4745.1850"
8,"Libya","3.2850","6777.4520"
9,"DR Congo","3.2180","86790.5670"
10,"Russia","3.0930","145872.2560"
11,"Pakistan","3.0720","216565.3180"
12,"Turkey","3.0150","83429.6150"
13,"Sudan","2.9950","42813.2380"
14,"Ukraine","2.9500","43993.6380"
15,"North Korea","2.9210","25666.1610"
16,"Nigeria","2.8980","200963.5990"
17,"Lebanon","2.8000","6855.7130"
18,"Israel","2.7350","8519.3770"
19,"Mali","2.7100","19658.0310"
20,"Venezuela","2.6710","28515.8290"
21,"Colombia","2.6610","50339.4430"
22,"Palestine","2.6080","4981.4200"
23,"India","2.6050","1366417.7540"
24,"Mexico","2.6000","127575.5290"
25,"Iran","2.5420","82913.9060"
26,"Cameroon","2.5380","25876.3800"
27,"Chad","2.5220","15946.8760"
28,"Egypt","2.5210","100388.0730"
29,"Burundi","2.5200","11530.5800"
30,"Philippines","2.5160","108116.6150"
31,"Eritrea","2.5040","3497.1170"
32,"Zimbabwe","2.4630","14645.4680"
33,"Ethiopia","2.4340","112078.7300"
34,"Azerbaijan","2.4250","10047.7180"
35,"Saudi Arabia","2.4090","34268.5280"
36,"United States","2.4010","329064.9170"
37,"South Africa","2.3990","58558.2700"
38,"Niger","2.3940","23310.7150"
39,"Myanmar","2.3930","54045.4200"
40,"Bahrain","2.3570","1641.1720"
41,"Honduras","2.3410","9746.1170"
42,"Mauritania","2.3330","4525.6960"
43,"Republic of the Congo","2.3230","5380.5080"
44,"Nicaragua","2.3120","6545.5020"
45,"Kenya","2.3000","52573.9730"
46,"Armenia","2.2940","2957.7310"
47,"Thailand","2.2780","69625.5820"
48,"Brazil","2.2710","211049.5270"
49,"Turkmenistan","2.2650","5942.0890"
50,"Guatemala","2.2640","17581.4720"
51,"El Salvador","2.2620","6453.5530"
52,"Guinea-Bissau","2.2370","1920.9220"
53,"Algeria","2.2190","43053.0540"
54,"China","2.2170","1433783.6860"
55,"Djibouti","2.2070","973.5600"
56,"Togo","2.2050","8082.3660"
57,"Ivory Coast","2.2030","25716.5440"
59,"Uganda","2.1960","44269.5940"
58,"Tajikistan","2.1960","9321.0180"
60,"Burkina Faso","2.1760","20321.3780"
61,"Lesotho","2.1670","2125.2680"
62,"Uzbekistan","2.1660","32981.7160"
63,"Bangladesh","2.1280","163046.1610"
64,"Guinea","2.1250","12771.2460"
65,"Georgia","2.1220","3996.7650"
66,"Papua New Guinea","2.1180","8776.1090"
67,"Belarus","2.1150","9452.4110"
68,"Gabon","2.1120","2172.5790"
69,"Kyrgyzstan","2.1050","6415.8500"
