name,obesityRate,bmi,pop2019
American Samoa,0.746,34.9,55.312
Tokelau,0.744, ,1.34
Nauru,0.61,32.5,10.756
Cook Islands,0.559,33,17.548
Palau,0.553,29.4,18.008
Marshall Islands,0.529,29.2,58.791
Tuvalu,0.516,29.3,11.646
Niue,0.5, ,1.615
Tonga,0.482,31.9,104.494
Samoa,0.473,31.7,197.097
Kiribati,0.46,29.6,117.606
Micronesia,0.458,29.4,113.815
Aruba,0.382, ,106.314
Kuwait,0.379,30,4207.083
Cayman Islands,0.366, ,64.948
United States,0.362,28.8,329064.917
British Virgin Islands,0.355, ,30.03
Jordan,0.355,28.9,10101.694
Saudi Arabia,0.354,28.5,34268.528
Qatar,0.351,29.2,2832.067
Bermuda,0.344, ,62.506
Guam,0.343, ,167.294
French Polynesia,0.331, ,279.287
Puerto Rico,0.329, ,2933.408
United States Virgin Islands,0.325, ,104.578
Libya,0.325,27.7,6777.452
Turkey,0.321,27.8,83429.615
Egypt,0.32,29.2,100388.073
Lebanon,0.32,27.8,6855.713
United Arab Emirates,0.317,28.8,9770.529
Bahamas,0.316,28.4,389.482
New Caledonia,0.315, ,282.75
New Zealand,0.308,27.9,4783.063
Iraq,0.304,28,39309.783
Fiji,0.302,27.2,889.953
Macau,0.3, ,640.445
Hong Kong,0.299, ,7436.154
Bahrain,0.298,28.2,1641.172
Canada,0.294,27.2,37411.047
Northern Mariana Islands,0.292, ,57.216
Australia,0.29,27.2,25203.198
Mexico,0.289,28.1,127575.529
Malta,0.289,27.2,440.372
South Africa,0.283,27.3,58558.27
Argentina,0.283,27.7,44780.677
Chile,0.28,27.8,18952.038
Uruguay,0.279,26.8,3461.734
Dominica,0.279,27,71.808
United Kingdom,0.278,27.3,67530.172
Syria,0.278,28.1,17070.135
Dominican Republic,0.276,26.7,10738.958
Algeria,0.274,26.2,43053.054
Oman,0.27,26.9,4974.986
Tunisia,0.269,26.8,11694.719
Palestine,0.268,27.6,4981.42
Suriname,0.264,27.4,581.372
Hungary,0.264,26.3,9684.679
Lithuania,0.263,26.6,2759.627
Morocco,0.261,25.6,36471.769
Israel,0.261,26.3,8519.377
Czech Republic,0.26,26.9,10689.209
Iran,0.258,26.2,82913.906
Costa Rica,0.257,26.9,5047.561
Venezuela,0.256,27.2,28515.829
Andorra,0.256,27.5,77.142
Ireland,0.253,27.5,4882.495
Vanuatu,0.252,26.2,299.882
Bulgaria,0.25,26,7000.119
Greece,0.249,27.3,10473.455
Jamaica,0.247,27.4,2948.279
El Salvador,0.246,27.4,6453.553
Cuba,0.246,26.2,11333.483
Belarus,0.245,26.6,9452.411
Croatia,0.244,25.5,4130.304
Belize,0.241,28.9,390.353
Ukraine,0.241,26,43993.638
Gibraltar,0.24,27.5,33.701
Spain,0.238,26.7,46736.776
Saint Vincent and the Grenadines,0.237,27.3,110.589
Nicaragua,0.237,26.9,6545.502
Latvia,0.236,25.8,1906.743
Montenegro,0.233,26,627.987
Russia,0.231,26.5,145872.256
Poland,0.231,26.4,37887.768
