"name","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","pop2019"
"American Samoa",0,"0.1733","0.6395","55.3120"
"Comoros",0,"0.0103","0.0137","850.8860"
"Mayotte",0,"0.7212","0.0620","266.1500"
"Faroe Islands",0,0,"0.3147","48.6780"
"French Guiana",0,"0.1154","0.4959","290.8320"
"French Polynesia",0,"0.6078","0.5813","279.2870"
"Greenland",0,"0.2188","0.4592","56.6720"
"Guadeloupe",0,"0.0933","0.3069","400.0560"
"Guam",0,"0.7320","0.4082","167.2940"
"Macau",0,"0.2519","0.5511","640.4450"
"Martinique",0,0,"0.2336","375.5540"
"Aruba",0,"0.3889","0.4107","106.3140"
"New Caledonia",0,"0.6633","0.5462","282.7500"
"Northern Mariana Islands",0,"0.7754","0.4811","57.2160"
"Bermuda",0,0,"0.7112","62.5060"
"Timor-Leste",0,"0.5261","0.4254","1293.1190"
"Puerto Rico",0,"0.0352","0.4952","2933.4080"
"Reunion",0,"0.1578","0.1952","888.9270"
"Sao Tome and Principe",0,"0.2322","0.1866","215.0560"
"Isle of Man",0,0,"0.4729","84.5840"
"United States Virgin Islands",0,"0.3140","0.6359","104.5780"
"Yemen",0,"0.0080","0.0023","29161.9220"
"North Korea","0.0020","0.0021","0.6604","25666.1610"
"Japan","0.0119","0.0178","0.5406","126860.3010"
"South Korea","0.0392","0.0028","0.4891","51225.3080"
"Tunisia","0.0394","0.0124","0.0104","11694.7190"
"Vanuatu","0.0413","0.5794","0.7044","299.8820"
"Malta","0.0414","0.0907","0.1223","440.3720"
"Bangladesh","0.0454","0.0925","0.2090","163046.1610"
"Portugal","0.0468","0.0198","0.1438","10226.1870"
"Kiribati","0.0511","0.0237","0.5541","117.6060"
"Norway","0.0586","0.0673","0.2048","5378.8570"
"Sweden","0.0600","0.1968","0.2342","10036.3790"
"Marshall Islands","0.0603","0.0734","0.5207","58.7910"
"Hong Kong","0.0620","0.2128","0.4191","7436.1540"
"Iceland","0.0798","0.0820","0.1913","339.0310"
"Denmark","0.0819","0.1049","0.2333","5771.8760"
"Tonga","0.0869","0.3782","0.6214","104.4940"
"Australia","0.0929","0.3349","0.8211","25203.1980"
"Cyprus","0.0939","0.3962","0.3962","1198.5750"
"Haiti","0.0950",0,"0.4704","11263.0770"
"France","0.1032","0.1221","0.4029","65129.7280"
"Netherlands","0.1054","0.5143","0.7222","17097.1300"
"Austria","0.1068","0.1522","0.4146","8955.1020"
"Solomon Islands","0.1110","0.5254","0.6708","669.8230"
"Italy","0.1145","0.1147","0.3027","60550.0750"
"Poland","0.1183","0.0468","0.1712","37887.7680"
"Ireland","0.1206","0.0312","0.1550","4882.4950"
"United Kingdom","0.1211","0.0532","0.6944","67530.1720"
"Armenia","0.1272","0.1291","0.4576","2957.7310"
"Lebanon","0.1314","0.1312","0.7886","6855.7130"
"Finland","0.1315","0.1412","0.2531","5532.1560"
"Barbados","0.1423","0.0926","0.6934","287.0250"
"Hungary","0.1522","0.0297","0.5244","9684.6790"
"China","0.1538","0.1327","0.6643","1433783.6860"
"Greece","0.1576","0.0300","0.1530","10473.4550"
"Tuvalu","0.1629","0.1372","0.2524","11.6460"
"Antigua and Barbuda","0.1643","0.1063","0.6840","97.1180"
"Germany","0.1682","0.1642","0.6571","83517.0450"
"Paraguay","0.1689","0.5975","0.2123","7044.6360"
"Saint Lucia","0.1769","0.3169","0.3320","182.7900"
"Saudi Arabia","0.1800","0.0949","0.1270","34268.5280"
"Egypt","0.1836","0.0237","0.1979","100388.0730"
"Saint Kitts and Nevis","0.1842",0,"0.6614","52.8230"
"Chile","0.1861","0.1871","0.3841","18952.0380"
"Honduras","0.1867","0.0553","0.2357","9746.1170"
"El Salvador","0.1978",0,"0.3559","6453.5530"
"Dominica","0.2003",0,"0.4628","71.8080"
"Seychelles","0.2025","0.1606","0.2323","97.7390"
"Azerbaijan","0.2047","0.2054","0.4899","10047.7180"
"Cambodia","0.2105","0.2104","0.0965","16486.5420"
"Albania","0.2204","0.0399","0.4719","2880.9170"
"Slovenia","0.2216","0.2201","0.2868","2078.6540"
"Costa Rica","0.2368","0.0489","0.2410","5047.5610"
"Vietnam","0.2383","0.2377","0.5080","96462.1060"
"Philippines","0.2385","0.8360","0.3056","108116.6150"
"Russia","0.2452","0.2485","0.4398","145872.2560"
"Uruguay","0.2504","0.0817","0.3548","3461.7340"
"Slovakia","0.2539","0.2551","0.5655","5457.0130"
"Argentina","0.2550","0.0618","0.2236","44780.6770"
"Lesotho","0.2550","0.2543","0.7211","2125.2680"
"Grenada","0.2661",0,"0.5898","112.0030"
"Papua New Guinea","0.2718","0.3526","0.5523","8776.1090"
"Taiwan","0.2744","0.5028","0.6845","23773.8760"
"San Marino","0.2927",0,"0.1975","33.8600"
"Burundi","0.2951","0.2977","0.5158","11530.5800"
"Saint Vincent and the Grenadines","0.3066","0.0175","0.7028","110.5890"
"Romania","0.3069","0.1723","0.2373","19364.5570"
"Turkey","0.3200","0.2216","0.0049","83429.6150"
"Belarus","0.3222","0.4666","0.6116","9452.4110"
"Czech Republic","0.3222","0.3233","0.6591","10689.2090"
"Lithuania","0.3223","0.3219","0.4141","2759.6270"
"Rwanda","0.3238",0,"0.5066","12626.9500"
"Algeria","0.3394","0.4427","0.0091","43053.0540"
"Israel","0.3436","0.5525","0.3469","8519.3770"
"Equatorial Guinea","0.3467","0.3220","0.1195","1355.9860"
"Mongolia","0.3682","0.3734","0.0799","3225.1670"
"Iraq","0.3689","0.3694","0.4844","39309.7830"
"Croatia","0.3690","0.0763","0.4447","4130.3040"
"Singapore","0.3857","0.3835","0.6561","5804.3370"
"Zimbabwe","0.3874","0.4472","0.7363","14645.4680"
"Turkmenistan","0.3918","0.3984","0.2327","5942.0890"
"New Zealand","0.3969","0.1657","0.8110","4783.0630"
"Bulgaria","0.4021","0.3031","0.5965","7000.1190"
"Botswana","0.4102","0.4110","0.5986","2303.6970"
"Uzbekistan","0.4125","0.4120","0.2133","32981.7160"
"Jamaica","0.4129","0.1098","0.6160","2948.2790"
"Sri Lanka","0.4150","0.4645","0.4853","21323.7330"
"Spain","0.4165","0.4132","0.4514","46736.7760"
"Cape Verde","0.4174",0,"0.0766","549.9350"
"India","0.4182","0.8069","0.3260","1366417.7540"
"Bahamas","0.4228","0.1855","0.6815","389.4820"
"Dominican Republic","0.4294","0.0395","0.3118","10738.9580"
"Palau","0.4312","0.3157","0.7147","18.0080"
"Oman","0.4373","0.3567","0.4322","4974.9860"
"Mauritius","0.4634","0.4547","0.6385","1269.6680"
"Ukraine","0.4737","0.4741","0.6157","43993.6380"
"Morocco","0.4841","0.4683","0.0035","36471.7690"
"Nicaragua","0.4844","0.0473","0.4290","6545.5020"
"United States","0.4901","0.5647","0.8241","329064.9170"
"Georgia","0.4923","0.4749","0.6543","3996.7650"
"Venezuela","0.4966","0.0686","0.1350","28515.8290"
"Bahrain","0.5021","0.4344","0.5528","1641.1720"
"Estonia","0.5062","0.4944","0.4985","1325.6480"
"Tajikistan","0.5107","0.5473","0.3386","9321.0180"
"Guatemala","0.5122","0.4586","0.3753","17581.4720"
"Laos","0.5139","0.6382","0.5453","7169.4550"
"Luxembourg","0.5302","0.6440","0.0911","615.7290"
"Switzerland","0.5314","0.5441","0.6083","8591.3650"
"Syria","0.5399","0.1817","0.4310","17070.1350"
"Brazil","0.5408","0.0468","0.6054","211049.5270"
"Brunei","0.5416","0.3438","0.4404","433.2850"
"Mexico","0.5418","0.1511","0.1796","127575.5290"
"Fiji","0.5479","0.5479","0.5682","889.9530"
"Panama","0.5528","0.3873","0.3338","4246.4390"
"Moldova","0.5535","0.5533","0.5603","4043.2630"
"Belgium","0.5554","0.5409","0.2127","11539.3280"
"Liechtenstein","0.5726","0.2246","0.3343","38.0190"
"Serbia","0.5736",0,0,"8772.2350"
"Nauru","0.5832","0.6161","0.6194","10.7560"
"Latvia","0.5867","0.5795","0.5556","1906.7430"
"Malaysia","0.5880","0.5970","0.6657","31949.7770"
"Cuba","0.5908",0,"0.5059","11333.4830"
"Jordan","0.5926","0.0396","0.0659","10101.6940"
"Colombia","0.6014","0.0193","0.1478","50339.4430"
"Bhutan","0.6050","0.6056","0.3787","763.0920"
"Mauritania","0.6150","0.3260","0.0149","4525.6960"
"Kazakhstan","0.6171","0.6621","0.5898","18551.4270"
"Guyana","0.6195","0.0688","0.7876","782.7660"
"United Arab Emirates","0.6252","0.4874","0.3310","9770.5290"
