name,averageTemperature,averageTemperatureF,pop2019
Canada,-5.35,22.37,37411.047
Russia,-5.1,22.82,145872.256
Mongolia,-0.7,30.74,3225.167
Norway,1.5,34.7,5378.857
Kyrgyzstan,1.55,34.79,6415.85
Finland,1.7,35.06,5532.156
Iceland,1.75,35.15,339.031
Tajikistan,2,35.6,9321.018
Sweden,2.1,35.78,10036.379
Estonia,5.1,41.18,1325.648
Switzerland,5.5,41.9,8591.365
Latvia,5.6,42.08,1906.743
Liechtenstein,5.65,42.17,38.019
North Korea,5.7,42.26,25666.161
Georgia,5.8,42.44,3996.765
Belarus,6.15,43.07,9452.411
Lithuania,6.2,43.16,2759.627
Austria,6.35,43.43,8955.102
Kazakhstan,6.4,43.52,18551.427
Slovakia,6.8,44.24,5457.013
China,6.95,44.51,1433783.686
Armenia,7.15,44.87,2957.731
Bhutan,7.4,45.32,763.092
Denmark,7.5,45.5,5771.876
Czech Republic,7.55,45.59,10689.209
Andorra,7.6,45.68,77.142
Poland,7.85,46.13,37887.768
Nepal,8.1,46.58,28608.71
Ukraine,8.3,46.94,43993.638
Chile,8.45,47.21,18952.038
United Kingdom,8.45,47.21,67530.172
Germany,8.5,47.3,83517.045
United States,8.55,47.39,329064.917
Luxembourg,8.65,47.57,615.729
Romania,8.8,47.84,19364.557
Slovenia,8.9,48.02,2078.654
Netherlands,9.25,48.65,17097.13
Ireland,9.3,48.74,4882.495
Moldova,9.45,49.01,4043.263
Belgium,9.55,49.19,11539.328
Hungary,9.75,49.55,9684.679
Bosnia and Herzegovina,9.85,49.73,3301
Bulgaria,10.55,50.99,7000.119
Montenegro,10.55,50.99,627.987
New Zealand,10.55,50.99,4783.063
Serbia,10.55,50.99,8772.235
France,10.7,51.26,65129.728
Croatia,10.9,51.62,4130.304
Turkey,11.1,51.98,83429.615
Japan,11.15,52.07,126860.301
Albania,11.4,52.52,2880.917
South Korea,11.5,52.7,51225.308
Lesotho,11.85,53.33,2125.268
San Marino,11.85,53.33,33.86
Azerbaijan,11.95,53.51,10047.718
Uzbekistan,12.05,53.69,32981.716
Afghanistan,12.6,54.68,38041.754
Myanmar,13.05,55.49,54045.42
Spain,13.3,55.94,46736.776
Italy,13.45,56.21,60550.075
Monaco,13.55,56.39,38.964
Argentina,14.8,58.64,44780.677
Turkmenistan,15.1,59.18,5942.089
Portugal,15.15,59.27,10226.187
Greece,15.4,59.72,10473.455
Lebanon,16.4,61.52,6855.713
Morocco,17.1,62.78,36471.769
Iran,17.25,63.05,82913.906
Uruguay,17.55,63.59,3461.734
South Africa,17.75,63.95,58558.27
Syria,17.75,63.95,17070.135
Rwanda,17.85,64.13,12626.95
Jordan,18.3,64.94,10101.694
Cyprus,18.45,65.21,1198.575
Israel,19.2,66.56,8519.377
Malta,19.2,66.56,440.372
Tunisia,19.2,66.56,11694.719
Peru,19.6,67.28,32510.453
Burundi,19.8,67.64,11530.58
Namibia,19.95,67.91,2494.53
Pakistan,20.2,68.36,216565.318
Mexico,21,69.8,127575.529
Zimbabwe,21,69.8,14645.468
Iraq,21.4,70.52,39309.783
Swaziland,21.4,70.52,1148.13
Zambia,21.4,70.52,17861.03
Botswana,21.5,70.7,2303.697
Angola,21.55,70.79,31825.295
Bolivia,21.55,70.79,11513.1
Australia,21.65,70.97,25203.198
Libya,21.8,71.24,6777.452
Ecuador,21.85,71.33,17373.662
Malawi,21.9,71.42,18628.747
Egypt,22.1,71.78,100388.073
Ethiopia,22.2,71.96,112078.73
Dominica,22.35,72.23,71.808
Tanzania,22.35,72.23,58005.463
Mauritius,22.4,72.32,1269.668
Algeria,22.5,72.5,43053.054
Madagascar,22.65,72.77,26969.307
Laos,22.8,73.04,7169.455
Uganda,22.8,73.04,44269.594
Cape Verde,23.3,73.94,549.935
Guatemala,23.45,74.21,17581.472
Honduras,23.5,74.3,9746.117
Paraguay,23.55,74.39,7044.636
India,23.65,74.57,1366417.754
Sao Tome and Principe,23.75,74.75,215.056
Mozambique,23.8,74.84,30366.036
Yemen,23.85,74.93,29161.922
Vanuatu,23.95,75.11,299.882
DR Congo,24,75.2,86790.567
Fiji,24.4,75.92,889.953
El Salvador,24.45,76.01,6453.553
Vietnam,24.45,76.01,96462.106
Colombia,24.5,76.1,50339.443
Saint Kitts and Nevis,24.5,76.1,52.823
Republic of the Congo,24.55,76.19,5380.508
Dominican Republic,24.55,76.19,10738.958
Equatorial Guinea,24.55,76.19,1355.986
Cameroon,24.6,76.28,25876.38
Saudi Arabia,24.65,76.37,34268.528
Kenya,24.75,76.55,52573.973
Costa Rica,24.8,76.64,5047.561
