Country	Last	Date	Previous	Max	Min	Scale
Afghanistan	2.88	Dec/15	7.73	28.53	-4.55	celsius
Albania	3.89	Dec/15	9.29	25.84	-2.05	celsius
Algeria	13.35	Dec/15	18.21	35.83	9.53	celsius
American Samoa	27.66	Dec/15	27.78	28.54	24.71	celsius
Andorra	7.08	Dec/15	9.76	24.31	-0.92	celsius
Angola	23.52	Dec/15	23.43	25.17	17.23	celsius
Antigua and Barbuda	25.96	Dec/15	26.29	29.33	23.16	celsius
Argentina	20.31	Dec/15	17.27	23.29	4.8	celsius
Armenia	-4.14	Dec/15	2.94	25.29	-10.28	celsius
Aruba	28.42	Dec/15	28.46	30.79	24.12	celsius
Australia	28.06	Dec/15	26.95	29.86	12.53	celsius
Austria	1.39	Dec/15	4.91	20.08	-11.08	celsius
Azerbaijan	1.48	Dec/15	6.09	26.68	-5.99	celsius
Bahamas	28.66	Sep/13	28.8	30.18	18.17	celsius
Bahrain	18.37	Dec/15	24.14	37.69	12.16	celsius
Bangladesh	18.44	Dec/15	23.08	29.79	14.79	celsius
Barbados	26.80	Dec/15	27.27	29.05	23.71	celsius
Belarus	1.70	Dec/15	3.9	22.81	-16.53	celsius
Belgium	8.59	Dec/15	9.49	22.84	-6.08	celsius
Belize	25.18	Dec/15	25.39	28.92	19.72	celsius
Benin	25.99	Dec/15	28.1	31.72	22.77	celsius
Bhutan	18.37	Aug/13	18.97	19.31	0.98	celsius
Bolivia	18.50	Aug/13	18.23	24.51	15.88	celsius
Bosnia and Herzegovina	22.81	Aug/13	22.29	24.04	-6.53	celsius
Botswana	18.51	Aug/13	16.66	28.86	12.57	celsius
Brazil	24.74	Aug/13	24.2	27.15	21.8	celsius
Bulgaria	1.95	Dec/15	8.67	25.06	-6.9	celsius
Burkina Faso	24.16	Dec/15	28.19	33.67	22.92	celsius
Burundi	21.08	Dec/15	20.68	22.86	17.62	celsius
Cambodia	27.60	Dec/15	28.12	30.43	21.9	celsius
Cameroon	23.31	Dec/15	24.98	27.72	21.72	celsius
Canada	-18.18	Dec/15	-11.98	14.8	-28.74	celsius
Cape Verde	23.05	Dec/15	24.5	28.42	20.01	celsius
Cayman Islands	27.90	Dec/15	28.2	30.19	21.17	celsius
Central African Republic	23.56	Dec/15	25.59	29.87	19.97	celsius
Chad	20.03	Dec/15	25.07	33.42	17.47	celsius
Chile	11.90	Dec/15	9.62	15.49	3.21	celsius
China	-5.24	Dec/15	0.67	21.04	-11.73	celsius
Colombia	25.45	Dec/15	25.5	27.21	22.92	celsius
Comoros	27.62	Dec/15	26.92	28.65	22.51	celsius
Congo	23.83	Aug/13	23.6	27.11	21.8	celsius
Costa Rica	24.61	Dec/15	25.12	28.86	22.99	celsius
Croatia	23.56	Aug/13	23.81	25.51	-5.81	celsius
Cuba	28.42	Sep/13	27.93	28.87	19.44	celsius
Cyprus	28.04	Aug/13	27.21	29.79	7.03	celsius
Czech Republic	18.66	Aug/13	20.16	22.09	-11.62	celsius
Denmark	-3.78	Aug/13	-0.9	0.7	-36.83	celsius
Djibouti	34.53	Aug/13	34.01	35.18	23.02	celsius
Dominica	28.25	Aug/13	28.17	28.9	22.94	celsius
Dominican Republic	28.05	Sep/13	27.86	28.58	21.86	celsius
Ecuador	21.51	Aug/13	21.24	24.34	19.77	celsius
Egypt	13.83	Dec/15	20.11	32.59	10.95	celsius
El Salvador	24.47	Dec/15	24.33	27.99	21.2	celsius
Equatorial Guinea	25.00	Dec/15	25.3	27.93	21.48	celsius
Eritrea	23.70	Dec/15	26.59	31.69	21.35	celsius
Estonia	2.29	Dec/15	4.26	22.33	-16.55	celsius
Ethiopia	21.97	Dec/15	22.68	26.2	20.08	celsius
Faroe Islands	4.81	Dec/15	5.76	13.46	-1.17	celsius
Fiji	24.95	Dec/15	24.48	27.9	21.28	celsius
Finland	-3.79	Dec/15	0.1	19.13	-21.2	celsius
France	7.70	Dec/15	9.65	23.66	1.6	celsius
French Polynesia	25.97	Dec/15	25.24	28.62	22.68	celsius
Gabon	25.37	Dec/15	25.83	27.19	20.78	celsius
Gambia	26.95	Aug/13	28.92	31.66	21.63	celsius
