Country,Deaths,Confirmed,Recovered,Unemployment (% of labour force),Urban population (% of total population),Health: Total expenditure (% of GDP),tuberculosis(per/100k) 2018,obesityRate,totalSmokingRate,Life expectancy(W),Life expectancy(M),deathrate(per/1000),averageTemperature
Afghanistan,0.0,1,0,8.6,26.7,8.2,189.0,0.055,19.3,63.5,61.0,6.393,12.6
Algeria,0.0,17,0,11.4,70.7,7.2,69.0,0.27399999999999997,16.5,76.5,74.1,4.723,22.5
Andorra,0.0,1,0,4.9,85.1,8.1,3.0,0.256,32.5,77.0,70.94,7.4,7.6
Argentina,0.0,8,0,6.5,91.8,4.8,27.0,0.28300000000000003,23.95,79.8,72.2,7.612,14.8
Armenia,0.0,1,0,16.6,62.7,4.5,31.0,0.20199999999999999,26.9,77.0,70.6,9.862,7.15
Australia,3.1746031746031744,63,21,5.5,89.4,9.4,6.6,0.29,14.9,84.4,80.2,6.622000000000001,21.65
Austria,0.0,79,0,6.2,66.0,11.2,7.1,0.201,35.15,83.5,78.4,9.896,6.35
Azerbaijan,0.0,9,0,5.2,54.6,6.0,63.0,0.19899999999999998,23.45,74.6,68.6,6.808,11.95
Bahrain,0.0,85,4,1.3,88.8,5.0,11.0,0.298,28.2,77.5,75.6,2.416,27.15
Belarus,0.0,6,0,0.5,76.7,5.7,31.0,0.245,28.4,77.7,66.5,12.557,6.15
Belgium,0.0,169,1,8.3,97.9,10.6,9.0,0.221,23.25,83.0,78.0,9.789,9.55
Bhutan,0.0,1,0,2.4,38.6,3.6,149.0,0.064,7.4,68.9,68.6,6.265,7.4
Bosnia and Herzegovina,0.0,3,0,25.4,39.8,9.6,25.0,0.179,38.6,78.8,73.7,10.8,9.85
Brazil,0.0,13,0,12.4,85.7,8.3,45.0,0.221,15.3,78.4,71.0,6.502999999999999,24.95
Cambodia,0.0,1,1,0.3,20.7,5.7,302.0,0.039,23.45,69.6,65.5,6.019,26.8
Cameroon,0.0,1,0,4.6,54.4,4.1,186.0,0.114,22.35,57.7,55.1,9.191,24.6
Canada,0.0,54,8,7.1,81.8,10.4,5.6,0.294,14.95,83.8,79.7,7.757999999999999,-5.35
Chile,0.0,4,0,6.8,89.5,7.8,18.0,0.28,38.0,81.3,76.2,6.215,8.45
China,3.8064772107325298,80652,55478,3.5,100.0,5.6,61.0,0.062,24.7,86.4,80.5,7.261,6.95
Colombia,0.0,1,0,3.2,100.0,5.6,33.0,0.223,11.1,86.2,80.3,5.606,24.5
Costa Rica,0.0,1,0,4.6,55.6,5.5,10.0,0.257,13.4,77.2,74.2,5.122000000000001,24.8
Croatia,0.0,12,0,10.5,76.4,7.2,8.4,0.244,36.45,77.4,70.2,13.17,10.9
Czech Republic,0.0,19,0,8.6,76.8,9.3,5.4,0.26,34.3,81.7,76.7,10.571,7.55
